title,contents
청학동 명륜학당,"분류
인문(문화/예술/역사) > 체험관광지 > 이색체험
위치
경상남도 하동군 청암면 청학로 2359-12
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
이용시간
쉬는날
주차시설
유모차대여여부
애완동물가능여부
체험가능연령
체험안내
문의및안내
상세정보
이용가능시설
화장실
내국인 예약안내
개요
근대 사회에 이르기까지 전통서당의 맥을 끊임 없이 이어온 30년 전통 청학동 명륜학당은 일반적인 놀이위주나 오락형태의 체험학습 서당이 아닌 이 땅의 주체인 자신이 어떻게하면 성공과 행복을 만들고 사랑과 존경을 만드는가를 즉  삶의 도리와 실천 예절을 일깨우는 학당이다. 인성교육으로 올바른 사고  건전한 정신을 일깨우고 예절교육으로 바르고 단정한 행동 자세를 다듬어 인간의 가치인 사랑  부끄러움  조심  판단 이러한 능력을 갖게 함으로 자기가 해야 할 의무와 도리 그리고 책임감을 일깨워준다. 삼십여년간 서당 훈장으로서 삶을 살아온 이정석 훈장은 인성 중심으로 마음을 따뜻하게 하는 교육을 기본으로 여러가지 예절과 효사상 등에 대하여 교육  부모를 알게 하고  인간성을 일깨워 자신을 찾게 하고  나눔을 일깨워 이웃을 알게 하고 있다.

* 교육내용
“교육은 체험보다 더 좋은 방법이 없다.”
“교육은 홀로서고 더불어 살게하는 것이다.”

* 교육방법
인성교육 : 가슴(뜻)을 깨우치는 각성교육
한문교육 : 집중력을 향상  지혜로 머리를 채우는 교육
예절교육 : 인사예절  언어예절  식사예절 등 기초생활예절과 전통예절의 실천
특별활동 : 세부프로그램 특별활동 시간에 진행되는 교육활동
이용안내
이용시간
09:00 ~ 21:00
쉬는날
토~일  공휴일
주차시설
주차 가능
유모차대여여부
불가
애완동물가능여부
불가
체험가능연령
6세~중학생(단  중3은 학당측과 상담 후 결정)
체험안내
* 청소년 수련활동 1박2일  2박3일 프로그램 등을 운영하고 있으며  각 단체의 특성에 맞는 '맞춤 프로그램'을 운영하고 있다.
1) 교육대상 - 유치부  초등학교  중학교
2) 교육내용 - 인성교육  예절교육  성구강의  전통문화체험마당 (배우기  만들기  마당놀이 체험 등)
3) 교육일정 - 1박2일  2박3일 등 인성·예절 현장체험학습

※ 자세한 내용은 홈페이지 참조
문의및안내
055-882-1892
상세정보
이용가능시설
금서루  예절관  충효관  효경당  강당  숙소  공부방  식당  샤워장 등
화장실
있음
내국인 예약안내
전화/인터넷으로 예약
청학동명륜학당유스호스텔 지도
일반
지형
위성
길찾기
확대보기"
남전약수,"이미지 크게보기
남전약수
분류
자연 > 자연관광지 > 약수터
위치
강원도 인제군 남면 남전리 산 145 일원
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
주차시설
유모차대여여부
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
이용가능시설
화장실
개요
남전약수는 남면 남전리 국도변 양지바른 기슭에 자리잡고 있다. 이 지역은 옛부터 쪽풀이 많아 쪽밭골로도 불리고 있는데 약수는 현재 이곳을 관리하고 있는 사람에 의해 1969년 발견되었다. 이 약수는 철분을 함유하고 있는 것으로  많은 사람들이 약수를 복용하고 배탈이 나았다고 알려지면서 계절을 가리지 않고 각지에서 관광과 소양호 낚시를 겸하여 찾고 있는데 약수에 설탕을 넣어 시판되는 청량음료 못지않은 맛을 나타낸다. 인근 지역의 계곡을 찾아 즐길 수도 있으며  서울에서 인제방면의 국도변에 위치하고 있기때문에 인제  속초 방면 또는 설악산을 찾는 길에 잠깐들려 약수의 맛을 즐기는 것도 색다른 묘미를 느낄 수 있다.
이용안내
주차시설
주차 가능
유모차대여여부
불가
애완동물가능여부
가능
문의및안내
인제군 문화관광과 033-460-2082
관련 홈페이지
인제 관광문화 http://tour.inje.go.kr
상세정보
이용가능시설
남전약수휴게소
화장실
있음
남전약수골 지도
남전약수골
3km
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
계승사(고성),"분류
인문(문화/예술/역사) > 역사관광지 > 사찰
위치
경상남도 고성군 영현면 대법3길 236
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
쉬는날
주차시설
유모차대여여부
애완동물가능여부
체험가능연령
문의및안내
관련 홈페이지
상세정보
입 장 료
화장실
개요
태고의 신비로움과 암벽의 경이한 모습을 품고 있는 공룡의 나라 고성 금태산 기슭에 자리한 계승사는 시간의 흔적만큼이나 계승사 바위에는 세월의 흔적이 고스란히 묻어 있다. 1억년전 이 곳이 공룡들의 땅이라고 증명하듯 초대형 공룡발자국을 남겨두었다. 또 거대 암반 위에는 파도가 밀려가면서 모래사장에 만들어내듯 한 물결무늬 화석이 그저 신비롭기만 하다. 이뿐만이 아니다. 계승사를 병풍처럼 둘러싸고 있는 기암괴석은 거북등 모양을 하고 있는가 하면  태고의 빗방울이 남긴 자국에 까지  그야말로 자연이 스스로 만들어낸 예술품이 따로 없다. 용두봉에서 발원하여 기암괴석과 절벽 사이로 흐르고 있는 석간수는 그 옛날 매일 부처님의 공양미로 올릴 석 되 두 홉의 공양미가 쏟아졌다는 전설이 전해질 정도로 맑고 청정하다. 금태산 계승사에서 고려말 이성계가 왜구를 토벌하기 위해 삼남도를 내려왔다가 이 절에서 수행하며 조선 창건의 꿈을 키웠다고도 한다. 그리하여 태조 이성계가 조선을 건국하고 자신의 수행한 산의 이름에 ‘금’자를 붙여 하명했는데  바로 고성의 금태산(金太山)과 남해의 금산(錦山)이라고 전해지고 있다. 태고의 모습을 간직하고 있는 큰 바위를 머리에 이고 조용히 역사의 흐름을 이어가고 있는 신라 천년 고찰 계승사는 천연자연림이 그대로 보존되어 그 호젓함을 더해주고 있다. 번잡한 시가지를 벗어나 조용한 여유를 찾고 싶다면 바위 위 계승사 법당에서 들려오는 스님의 독경소리와 풍경소리가 좋은 벗이 되어줄 것이다.
이용안내
쉬는날
연중개방
주차시설
주차 가능
유모차대여여부
불가
애완동물가능여부
불가
체험가능연령
전연령
문의및안내
055-673-0281
관련 홈페이지
고성군청 문화관광 http://visit.goseong.go.kr/index.goseong>
상세정보
입 장 료
무료
화장실
있음
계승사 지도
계승사
1000m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
나주학생독립운동기념관,"이미지 크게보기
나주학생독립운동기념관
분류
인문(문화/예술/역사) > 문화시설 > 기념관
위치
전라남도 나주시 죽림길 26
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
규모
관람소요시간
이용요금
이용시간
쉬는날
주차시설
주차요금
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
한국어 안내서비스
개요
일제강점기 학생운동의 산실  나주학생독립운동기념관 *

나주 학생독립운동은 1929년 10월 30일 당시 나주역에서 나주-광주 간 기차를 이용해 통학하던 한  일 학생의 충돌을 계기로 시작되었다. 학생독립운동은 흔히 일제강점기 3대 독립운동의 하나로 평가된다. 나주학생독립운동기념관은 학생독립운동 진원지 ‘옛 나주역’ 옆에 당시의 역사를 생생하게 일깨울 수 있도록 전남지역의 식민지적 상황과 학생독립운동의 전개과정 등을 주제로 2008년 7월 25일 개관하였다. 더불어 이곳을 방문하게 되면 전라남도 기념물로 지정된 나주역사도 함께 볼 수 있다.

* 광주학생독립운동진원지 나주역사 *

1913년 7월 1일 호남선 개통에 따라 신축된 건물로  1929년 10월 30일 일본인 남학생과 조선인 남학생의 편싸움을 발단으로 일어난 광주학생운동의 직접적인 빌미가 된 역사의 현장이기도 하다. 신축 당시의 설계 등의 기록이 없어서 원래의 규모는 확실하게 알 수 없다. 하지만 1923년 북쪽 벽에 이어 화물창고를 증축하였고  1970년 본건물의 지붕을 이은 일본 기와를 슬레이트로 바꾸었으며  개찰구 위치를 변경하였을 뿐 기본 구조나 기둥 등 목재는 원형을 유지하고 있다.
이용안내
규모
부지면적 10 273㎡  건축면적 846.12㎡  지상 2층
관람소요시간
약 1시간
이용요금
무료
이용시간
09:00~18:00 (동절기(11~2월) 09:00~17:00)
쉬는날
매주 월요일  국가공휴일(단  삼일절  현충일  광복절 개관)
주차시설
주차 가능
주차요금
무료
애완동물가능여부
불가
문의및안내
061-334-5393
관련 홈페이지
http://www.najusim.or.kr
상세정보
한국어 안내서비스
가능
나주학생독립운동기념관 지도
나주학생독립운동기념관
10km
© NAVER Corp.
일반
지형
위성
확대보기"
여주 넓은들마을 [농촌체험],"여주 넓은들마을 [농촌체험]
분류
인문(문화/예술/역사) > 체험관광지 > 농.산.어촌 체험
위치
경기도 여주시 능서면 월평로 389
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
쉬는날
주차시설
신용카드가능여부
체험안내
문의및안내
관련 홈페이지
상세정보
입 장 료
주차요금
화장실
개요
경기도 여주시 능서면 광대리는 여주시의 문화관광자원과 청정지역의 자연을 느끼도록 조성된 넓은들녹색농촌체험마을이다. 논과 들로 구성된 넓은 지형을 이용하여 여주를 대표하는 대왕님표 여주쌀과 밤고구마  여주배를 비롯한 많은 특산물을 친환경 농법으로 재배하는 전원 마을이다. 주요 농산물로는 쌀  고구마  배  복숭아  옥수수 등이 있고 봄 딸기따기  여름-가을 고구마 수확 등의 농촌체험 뿐아니라 느타리 버섯 따기  천연 염색  쑥개떡 만들기 등의 상시운영 체험도 가능하다.
이용안내
쉬는날
연중무휴
주차시설
있음
신용카드가능여부
가능
체험안내
* 상시 운영 체험 : 인절미 만들기  천연 염색  느타리 버섯 따기 등
* 테마 체험 : 봄 딸기 따기  여름-가을 고구마 수확  옥수수 하모니카 불기 등
※ 체험은 계절 및 현지사정에 따라 변동가능함으로 홈페이지 체험활동 확인후 전화문의
문의및안내
031-885-9090
관련 홈페이지
http://gwangdaeri.co.kr
상세정보
입 장 료
무료 (체험비 별도)
주차요금
무료
화장실
있음
여주 넓은들마을 [농촌체험] 지도
여주 넓은들마을 [농촌체험]
10km
© NAVER Corp.
일반
지형
위성
확대보기"
국립국악원,"이미지 크게보기
국립국악원
분류
인문(문화/예술/역사) > 문화시설 > 공연장
위치
서울특별시 서초구 남부순환로 2364
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
관람소요시간
이용요금
이용시간
쉬는날
주차시설
주차요금
수용인원
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
사업내용
대관안내
개요
* 전통음악과 무용을 보존·전승하고  보급 및 발전시키고자 설립된 국립음악기관 * 각종 공연을 비롯한 학술 연구  국악 교육  해외 교류 등으로 국민과 함께하는 국악  세계 속의 우리 국악을 추구한다.
신라시대 이후 전승되어온 궁중음악기관에 그 기원을 둔다. 8.15해방 후 궁중음악기관이 해체된 한때 구왕궁아악부(舊王宮雅樂部)로 존속하다가 1951년 이후 국립국악원으로 이어졌다. 국립국악원의 직제는 1950년에 공표되었으나  전쟁으로 인하여 1951년 부산에서 개원하였으며  수복 후 운니동과 장충동 청사를 거쳐 1987년 현 서초동 청사로 이전하였다.
2010년 현재 문화체육관광부 소속기관으로 국악연구실·기획관리과·장악과·국악진흥과·무대과를 두고  정악단·민속악단·무용단·창작악단 등 네 개의 소속연주단을 운영하고 있다. 또 전북 남원에 국립민속국악원(1992.3.20 개원)  전남 진도에 국립남도국악원(2004.7.7 개원)  부산광역시에 국립부산국악원(2008.10.28 개원) 등 세 개의 지방 국악원을 운영하고 있다.
이용안내
관람소요시간
공연에 따라 다름
이용요금
공연에 따라 다름
이용시간
공연에 따라 다름
쉬는날
공연에 따라 다름
주차시설
주차 가능
주차요금
무료
※ 월요일~금요일 09:00~18:00 차량 5부제 적용(18:00이후 및 토요일  일요일  공휴일은 부제 적용 해제)
수용인원
예약당 706석  우면당 231석  풍류사랑방 130석
애완동물가능여부
불가
문의및안내
국립국악원 02-580-3300
관련 홈페이지
국립국악원 http://www.gugak.go.kr
상세정보
사업내용
공연  교육  연구  강습  전시 등
대관안내
국립국악원의 시설(대극장  소극장  놀이마당  분장실·연습실 및 작화실)을 대관하여 전통 국악공연이나 문화예술과 관련된 국가적 행사에 사용할 수 있게 함으로써 국악원시설의 효율적인 운영과 민족예술의 진흥.발전에 이바지 함.음향  조명  무대기계  무대장치  소도구  악기  영상 등 대여
* 대관문의 02-580-3042
국립국악원 지도
국립국악원
10km
© NAVER Corp.
일반
지형
위성
확대보기"
옻칠목공체험관광협동조합,"옻칠목공체험관광협동조합
분류
인문(문화/예술/역사) > 문화시설 > 전시관
위치
전라북도 남원시 충정로 65 (동충동)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
규모
관람소요시간
이용요금
이용시간
쉬는날
주차시설
주차요금
수용인원
신용카드가능여부
애완동물가능여부
문의및안내
관련 홈페이지
상세정보
사업내용
예약안내
외국인 예약안내
한국어 안내서비스
개요
남원의 전통공예인 목공예  옻칠공예를 매체로 형성된 공예인들의 협동조합으로 지역 공예의 체험 교육을 위한 체험장  교육장  카폐 시설을 구비하고 각 조합원들이 자체 공방을 운영함으로써 방문객들이 목공예  옻칠의 전 과정을 돌아볼 수 있으며 체험  교육프로그램을 통해 지역 공예산업을 직접 접 할 수 있는 기회를 제공 하고 있다. 목공조형물 조성사업으로 "" 바람개비에 자신의 바램을 담아 족적을 남겨 놓을 수 있다. 공예를 보고  체험하고  즐길 수 있는 공간을 제공한다.
이용안내
규모
부지면적 : 1237㎡
건축면적 : 600㎡(1층 330㎡  2층 330㎡)
관람소요시간
1시간 소요
이용요금
체험별 상이
이용시간
09:00~18:00 (방문 전 전화문의)
쉬는날
설/추석
주차시설
주차 가능
주차요금
무료
수용인원
100명(동시체험객 목공: 40명 / 옻칠목걸이:40명 / 갈이체험: 20명)
신용카드가능여부
가능
애완동물가능여부
불가
문의및안내
063-626-5725
관련 홈페이지
http://www.namuochil.com
상세정보
사업내용
공예마을 조성사업  전통갈이교육  옻칠교육  체험  카폐운영
예약안내
전화예약 및 인터넷예약 가능
외국인 예약안내
예약은 관람일로부터 2주일 이전에 신청(통역이용)
한국어 안내서비스
예약자에 한해 조합원이 안내함
옻칠목공체험관광협동조합 지도
옻칠목공체험관광협동조합
10km
© NAVER Corp.
일반
지형
위성
확대보기"
팔봉산 흔들바위,"분류
자연 > 관광자원 > 기암괴석
위치
경기도 안성시 일죽면 종배길 81 (일죽면)
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
쉬는날
체험가능연령
문의및안내
관련 홈페이지
상세정보
입 장 료
개요
경기도 안성시 죽산성지(이진터성지) 뒷산인 팔봉산에 엄지 손가락으로도 흔들리는 흔들바위가 있다. 하단부 높이가 2.1m  둘레가 10.4m나 되는 거대한 흔들바위이다. 일제의 강점시 일본 사람들이 이 바위를 떼어 내려고 반정도 뒤집었으나 다시 제자리로 돌아왔으며  팀스프리트 훈련시 미군 9명이 이 바위를 넘기려고 시도하였으나 실패하였다고 한다. 또한 바위가 살짝 얹혀 있어 바위 밑으로 양쪽에서 두사람이 실을 통과 시킬 수도 있다고 한다. 들바위가 있는 팔봉산은 옛부터 8개소의 명당이 있는데 사냥꾼에게 쫓기던 노루를 살려 주었더니 노루가 고맙다면서 두바위 사이의 땅을 파고 떠나지 않아 그 곳에 묘를 썼더니 후손이 번성하였다고 전하며 이곳이 노루가 잡아준 명당이라고 전한다. 흔들바위로 넘어 바위 앞에 무덤이 있는데  마을 주민들에 의하면 이 바위에 아기를 낳지 못하는 사람들이 지성을 들이면 아기를 가질 수 있다고 전해진다.
이용안내
쉬는날
연중개방
체험가능연령
전연령
문의및안내
안성시 관광안내소 031-677-1330
관련 홈페이지
안성시 문화관광 http://www.anseong.go.kr/tour
상세정보
입 장 료
무료
흔들바위 지도
일반
지형
위성
길찾기
확대보기"
도림사 계곡,"이미지 크게보기
도림사 계곡
분류
자연 > 자연관광지 > 계곡
위치
전라남도 곡성군 곡성읍 월봉리
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
쉬는날
주차시설
유모차대여여부
애완동물가능여부
문의및안내
상세정보
입 장 료
개요
해발 748.5m의 동악산 남쪽 골짜기를 흘러내리는 동악계곡과 성출계곡이 하나가 되어 아홉 구비마다 펼쳐진 반석 위로 맑은 물줄기가 마치 비단을 펼쳐 놓은 듯이 흐르고  노송  폭포 등과 어우러져 절경을 이루고 있는 도림사계곡은 지방기념물로 지정되어 있다. 주변의 경치를 감상할 수 있는 반석들이 있어 예로부터 풍류객들의 발길이 잦았으며 이 곳 9개의 반석에는 선현들의 문구가 음각되어 있어 그들의 풍류를 엿볼 수 있고 한 아름 반석 위로 흐르는 계곡 물에 몸을 담그는 맛이 색다르다. 그리고  이계곡 정상 부근에는 전망이 좋아 신선이 쉬어 간다고 하는 높이 4m에 넓이 30평에 달하는 신선바위가 있으며  이 계곡을 따라 오르는 동악산 줄기의 형제봉은 등산코스로 널리 알려져 있다.
이용안내
쉬는날
연중무휴
주차시설
주차 가능(무료)
유모차대여여부
불가
애완동물가능여부
불가
문의및안내
061-360-8308
상세정보
입 장 료
[도림사 입장료]
* 어른 2 000원 / 청소년 1 500원 / 어린이 1 000원
도림사계곡 지도
도림사계곡
10km
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
인천 푸른벗말,"이미지 크게보기
인천 푸른벗말
분류
인문(문화/예술/역사) > 체험관광지 > 농.산.어촌 체험
위치
인천광역시 옹진군 북도면 신도로 577
출처원문보기
대한민국구석구석 원문보기
목차
개요
이용안내
쉬는날
주차시설
애완동물가능여부
체험안내
문의및안내
상세정보
화장실
내국인 예약안내
개요
푸른벗말마을 구봉산 정상에서는 영종도(永宗島) 등 서해의 섬들을 한눈에 굽어볼 수 있으며  1992년 시도(矢島)까지 길이 579m의 연도교(連島橋)가 설치되었다. 섬의 북쪽과 남쪽에 2개의 산지가 솟아 있고  남서부에 큰 만입(灣入)이 있으며  섬 주위를 넓은 간석지가 둘러싸고 있다. 경지면적이 비교적 넓어 주민 대부분이 농업에 종사한다. 해변에서는 망둥어·맛조개 등이 많이 잡히며  당도가 뛰어난 포도가 재배된다. 예로부터 신도는 소금맛으로 유명한데  바닷물을 농도 짙은 간수로 만들어 큰 가마솥에다 넣고 군불을 때 조려 만든다.
이용안내
쉬는날
※ 전화문의 요망
주차시설
주차 가능
애완동물가능여부
가능
체험안내
- 고구마순 심기 고구마 캐기
- 소금채취
- 바지락캐기
- 쑥찐빵
- 숭어찾기
- 감자캐기
- 포도봉지 씌우기 포도따기
- 여치집 만들기
- 망둥어 낚시
- 연만들기
- 전통 농주 만들기
- 퇴비 만들기
- 천연비누 만들기
- 생태 프로그램

※ 체험은 계절 및 마을 사정에 따라 변동 가능하니 전화문의 요망
문의및안내
032-752-8885
상세정보
화장실
있음
내국인 예약안내
민박 및 체험 : 전화예약
인천푸른벗말 지도
인천푸른벗말
1000m
© NAVER Corp.
일반
지형
위성
길찾기
확대보기"
